        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 CPD partition       | Code                  | 002BD180 | 00006C80 | 70614931 | ---- ish_srv
 CPD partition       | Code                  | 002C3E00 | 00006740 | 87A238EA | ---- mctp
 CPD partition       | Code                  | 002CA540 | 00003F80 | 834EF632 | ---- icc
 CPD partition       | Code                  | 002CE4C0 | 00025E80 | CB19E571 | ---- tls_iso
 CPD partition       | Code                  | 002F4340 | 00002000 | D63A8B83 | ---- vdm
 Padding             | Empty (FFh)           | 002F6340 | 000D8CC0 | BB0BEE34 | ---- Padding
 BPDT partition      |                       | 003CF000 | 0000A000 | 823AE25F | --- iUnit | iUnit
 CPD store           |                       | 003CF000 | 0000005C | 1260AFCA | ---- CPD partition table
 CPD entry           |                       | 003CF014 | 00000018 | 0B3FE0F4 | ----- IUNP.man
 CPD entry           |                       | 003CF02C | 00000018 | 0274C9D6 | ----- iunit.met
 CPD entry           |                       | 003CF044 | 00000018 | 54E40E5E | ----- iunit
 CPD partition       | Manifest              | 003CF05C | 00000464 | 5F73F3E3 | ---- IUNP.man
 CPD extension       |                       | 003CF3E0 | 00000078 | FC07F5B0 | ----- Signed Package Info
 CPD SPI entry       |                       | 003CF3E0 | 00000044 | CFFADBDE | ------ iunit.met
 CPD extension       |                       | 003CF458 | 00000068 | F0E19B81 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 003CF4C0 | 00000070 | 19F2E691 | ---- iunit.met
 CPD extension       |                       | 003CF4C0 | 00000070 | 19F2E691 | ----- Anti-cloning SKU ID
 Padding             | Empty (FFh)           | 003CF530 | 00000010 | 3FB3C61A | ---- Padding
 CPD partition       | Code                  | 003CF540 | 00000F6C | D695C8D8 | ---- iunit
 Padding             | Empty (FFh)           | 003D04AC | 00008B54 | 830EA8E4 | ---- Padding
 Padding             | Empty (FFh)           | 003D9000 | 00027000 | CD05F3D9 | -- Padding
 Region              | BIOS                  | 00400000 | 00C00000 | 7BD00358 | - BIOS region
 Volume              | FFSv2                 | 00400000 | 00030000 | 76216F19 | -- FA4974FC-AF1D-4E5D-BDC5-DACD6D27BAEC
 File                | Raw                   | 00400078 | 0002FF88 | E85082A8 | --- CEF5B9A3-476D-497F-9FDC-E98143E0422C | NVAR store
 NVAR entry          | Full                  | 00400090 | 00001C7F | A3EB825E | ---- 4599D26F-1A11-49B8-B91F-858745CFF824 | StdDefaults
 NVAR entry          | Full                  | 004000A7 | 00000AFA | 4CC1E7D7 | ----- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | Setup
 NVAR entry          | Full                  | 00400BA1 | 0000001E | 94187FA9 | ----- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | PlatformLang
 NVAR entry          | Full                  | 00400BBF | 00000015 | F0B3B0A4 | ----- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | Timeout
 NVAR entry          | Full                  | 00400BD4 | 00000069 | C02CEE68 | ----- C811FA38-42C8-4579-A9BB-60E94EDDFB34 | AMITSESetup
 NVAR entry          | Full                  | 00400C3D | 00000264 | B2A1C1FC | ----- B08F97FF-E6E8-4193-A997-5E9E9B0ADB32 | CpuSetup
 NVAR entry          | Full                  | 00400EA1 | 00000459 | 0C968FAC | ----- 72C5E28C-7783-43A1-8767-FAD73FCCAFA4 | SaSetup
 NVAR entry          | Full                  | 004012FA | 000006E2 | BA6BED25 | ----- 4570B7F1-ADE8-4943-8DC3-406472842384 | PchSetup
 NVAR entry          | Full                  | 004019DC | 00000048 | 9A537AC4 | ----- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetup
 NVAR entry          | Full                  | 00401A24 | 0000002B | 1301B13F | ----- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetupStorage
 NVAR entry          | Full                  | 00401A4F | 0000002B | 1B5023E7 | ----- 64192DCA-D034-49D2-A6DE-65A829EB4C74 | IccAdvancedSetupDataVar
 NVAR entry          | Full                  | 00401A7A | 0000001A | 1BC60B4A | ----- AAF8E719-48F8-4099-A6F7-645FBD694C3D | SiSetup
 NVAR entry          | Full                  | 00401A94 | 0000002C | CB27B574 | ----- DE0A5E74-4E3E-3D96-A440-2C96ECBD3C97 | DebugConfigData
 NVAR entry          | Full                  | 00401AC0 | 00000020 | B2FD1A29 | ----- C61C31A3-CB5D-46DD-9FE5-8A82BBC72483 | AmiWrapperSetup
 NVAR entry          | Full                  | 00401AE0 | 00000019 | 9517F3B2 | ----- 6B0CC1BC-910F-411E-B6CB-0E314D0BB8C1 | SioSetupData
